building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_036,building_102,28.1674314904,101.0814284528,3.5885923247
building_036,building_109,31.046283814,110.4736280951,3.5583527084
building_036,building_127,3.7833893754,37.944094277,10.02912746
building_036,building_135,27.2835967893,102.4583996322,3.7553113112
building_036,building_268,23.4333889376,83.7314791115,3.5731698618
building_038,building_069,27.9389399815,104.4041691908,3.7368693751
building_038,building_109,3.7871855133,38.2363109068,10.0962339375
building_038,building_127,30.1667774064,109.7036776868,3.6365726511
building_038,building_208,15.1043580764,69.559558443,4.6052641291
building_038,building_244,31.4704049272,116.9378593421,3.71580409
building_038,building_268,34.6199717897,126.6614201167,3.6586228575
building_038,building_269,13.0743421276,56.36541149,4.3111470497
building_040,building_069,29.7499821849,106.8526119837,3.5916865872
building_040,building_136,15.0673670593,70.1536835928,4.6560014976
building_040,building_170,30.2816403217,107.8782013097,3.5624952996
building_040,building_171,28.7864492006,101.0760193739,3.5112360913
building_040,building_198,30.764262578,109.4078101777,3.5563280576
building_040,building_215,28.0042380766,104.6469287303,3.7368247065
building_040,building_229,14.5005454714,64.3105598157,4.4350441811
building_040,building_257,24.1435054324,90.1270659529,3.732973499
building_040,building_263,21.539811792,82.4054620803,3.8257280461
building_042,building_049,1.1835000042,27.054982092,22.8601453278
building_042,building_076,26.2752483454,93.4789434091,3.5576806803
building_042,building_113,2.8404220652,34.053456959,11.9888721383
building_042,building_143,17.4687035881,72.7084652716,4.162213006
building_042,building_161,9.7729773611,57.3942687749,5.8727516349
building_042,building_179,12.3521264003,57.6809528174,4.6697184718
building_042,building_188,29.3121308855,105.5318042294,3.6002774633
building_042,building_218,22.5342677025,90.6938510694,4.0247081586
building_043,building_054,11.6511057952,55.7022646591,4.7808564816
building_043,building_056,33.4229134249,106.0164575972,3.1719693687
building_043,building_091,28.8374667029,109.743979339,3.8056040244
building_043,building_207,15.8110713732,72.15915687,4.5638372737
building_043,building_241,24.958679835,93.8064199632,3.7584688206
building_045,building_046,27.6939833935,101.3463101481,3.6595064245
building_045,building_099,28.4853869077,107.5226162814,3.7746587972
building_045,building_102,31.901229115,117.8493775978,3.6941955174
building_045,building_127,15.9333024766,71.5888351296,4.4930318266
building_045,building_135,21.3030000528,80.4799845126,3.7778709249
building_045,building_268,31.1300931276,107.4951360558,3.453093944
building_046,building_102,16.1647338034,62.7433985019,3.8814990253
building_046,building_104,16.2681911302,69.0648743246,4.2453935887
building_046,building_124,30.3816316734,113.8434328888,3.747113852
building_046,building_137,2.1302837868,33.783303223,15.8585928471
building_046,building_174,21.5397000455,81.0153412186,3.761210279
building_047,building_050,22.5211714935,81.5672361055,3.6218025394
building_047,building_051,12.0516461573,54.6488986532,4.5345588428
building_047,building_053,14.2935159258,63.1509643788,4.4181546868
building_047,building_133,21.1125426609,67.1994672732,3.1829168259
building_047,building_146,0.9363991471,16.8188552445,17.9612030798
building_047,building_147,23.9080046478,75.3707527855,3.1525321287
building_047,building_148,13.9047503771,61.4859107012,4.4219356
building_047,building_150,11.1723421589,53.5263198938,4.7909667581
building_047,building_191,19.3692852661,74.4393084575,3.8431623798
building_048,building_125,19.9680507601,78.8604971159,3.9493337664
building_048,building_126,5.9428892102,45.0186445608,7.5752118151
building_048,building_132,29.0401901323,103.4538284611,3.5624363336
building_048,building_145,31.1438651752,113.6205596914,3.648248509
building_048,building_159,18.0033837622,86.2037432997,4.7881967323
building_048,building_166,33.3782459186,111.0415301201,3.3267634971
building_048,building_214,16.6052092534,74.0247580248,4.4579238295
building_048,building_247,28.8530874624,102.309886562,3.5458904249
building_048,building_265,3.4982861132,41.9980810884,12.005330533
building_048,building_273,26.3862362012,95.6753012449,3.6259548545
building_049,building_076,12.0987713893,60.1268893641,4.9696690209
building_049,building_113,21.0663000686,76.4177427759,3.6274876237
building_049,building_142,18.0698280072,77.3522385676,4.2807401674
building_049,building_143,7.7036343553,48.1748328633,6.2535201752
building_049,building_161,21.5534429593,85.7661587889,3.9792324108
building_049,building_176,27.7784574953,100.3254263438,3.6116269725
building_049,building_179,6.4181451889,44.8289720089,6.9847238867
building_049,building_188,32.7217515402,121.1277733018,3.7017509027
building_049,building_211,20.3449190797,86.3548704143,4.2445423388
building_049,building_218,4.0773744643,47.6495808531,11.6863391554
building_050,building_051,21.2735902978,67.3991200444,3.1682061702
building_050,building_053,0.923033462,16.6135346408,17.9988432981
building_050,building_073,34.2127702909,112.1603423649,3.2783180494
building_050,building_114,9.0159475144,42.1299178633,4.6728219963
building_050,building_133,10.2768358554,50.1565986283,4.8805487734
building_050,building_141,32.9246670466,106.6598430586,3.2395116679
building_050,building_142,34.1304904732,112.0720597333,3.2836346088
building_050,building_146,31.4838460376,101.9829153786,3.2392140165
building_050,building_148,31.4504628986,93.157700502,2.9620454491
building_050,building_150,11.329676922,42.6222516744,3.7620006261
building_050,building_176,33.279400135,107.7654046476,3.2382015364
building_050,building_227,16.4540314841,67.030355103,4.0737952378
building_051,building_053,11.6005994016,42.9094089632,3.6988958482
building_051,building_076,34.0921412107,109.7222055957,3.2184017108
building_051,building_133,26.5289425877,90.295952396,3.4036770255
building_051,building_142,34.8217124432,112.8024059668,3.2394273013
building_051,building_143,33.8219453913,109.8963252414,3.2492609154
building_051,building_146,13.3307568821,57.3764475717,4.3040652589
building_051,building_147,24.9152971586,88.6672593256,3.5587478151
building_051,building_148,1.408627357,17.8671747974,12.6841032223
building_051,building_150,1.1796794242,16.888942661,14.3165527128
building_051,building_191,11.5748402809,42.5509666822,3.6761601585
building_053,building_114,19.0215681765,66.805789008,3.5121073293
building_053,building_133,11.6514612667,54.6246580017,4.6882237988
building_053,building_141,34.8589793795,113.4891497279,3.2556647311
building_053,building_142,34.4751799666,110.6514708887,3.2095980643
building_053,building_146,22.2383607678,80.6633541709,3.6272167276
building_053,building_148,21.7774853866,68.6680165266,3.1531655426
building_053,building_150,1.6566856773,18.1325403286,10.9450697724
building_053,building_176,34.7056082465,111.0261696376,3.1990843915
building_053,building_191,31.9433803993,93.3515218498,2.9224058532
building_053,building_227,24.8002595884,87.890749714,3.5439447479
building_054,building_056,22.9902713686,90.2979866708,3.927660758
building_054,building_091,32.0795363715,116.781881644,3.6403855808
building_054,building_139,17.4293062166,77.62530937,4.4537234245
building_054,building_189,26.5774540566,92.3561244604,3.474980119
building_054,building_207,12.5867299596,66.9719159799,5.3208352125
building_055,building_217,23.8749406945,94.0593654206,3.9396690708
building_055,building_250,28.051087736,104.2439040383,3.7162161061
building_056,building_059,29.7817051857,106.6193811967,3.5800294352
building_056,building_139,4.0632187348,36.5267365797,8.9896062613
building_057,building_084,3.9601797352,42.7427977757,10.7931459261
building_057,building_104,27.6940231348,99.9303164015,3.6083712329
building_057,building_174,18.8530759819,83.2432662976,4.4153678889
building_057,building_178,28.9979619017,105.9035000354,3.6521014958
