building_id,source_component_id,original_centroid_x_m,original_centroid_y_m,transformed_centroid_x_m,transformed_centroid_y_m,centroid_spacing_scale,footprint_scale_xy,foundation_z_m,roof_z_m,height_above_ground_m,roof_z_difference_from_source_m
building_146,1362,230.2163108938,88.4870625031,575.5407772345,221.2176562578,2.5,2.5,-0.05,49.7058823529,49.7058823529,29.7791424262
building_147,1363,231.5144843443,64.8386660451,578.7862108608,162.0966651127,2.5,2.5,-0.05,21.1764705882,21.1764705882,10.8834302952
building_148,1367,202.4660246355,84.1558655214,506.1650615889,210.3896638035,2.5,2.5,-0.05,27.6470588235,27.6470588235,15.119586296
building_150,1370,202.9147275802,104.4180087306,507.2868189505,261.0450218264,2.5,2.5,-0.05,32.2058823529,32.2058823529,18.139948287
building_153,1378,56.0994063481,97.7587373276,140.2485158702,244.3968433189,2.5,2.5,-0.05,39.1176470588,39.1176470588,22.9271708683
building_154,1379,-233.1348112436,-229.5837308688,-582.837028109,-573.959327172,2.5,2.5,-0.05,31.6176470588,31.6176470588,17.6982331394
building_155,1381,190.7593289683,43.6814514368,476.8983224209,109.203628592,2.5,2.5,-0.05,28.3823529412,28.3823529412,15.5984701573
building_156,1385,163.8951590827,-2.6148606026,409.7378977067,-6.5371515066,2.5,2.5,-0.05,43.2352941176,43.2352941176,25.6895065718
building_157,1387,-197.3468004776,196.5896842464,-493.367001194,491.4742106159,2.5,2.5,-0.05,34.8529411765,34.8529411765,19.9811463047
building_158,1388,74.0754872612,204.9454812566,185.1887181529,512.3637031416,2.5,2.5,-0.05,23.5294117647,23.5294117647,12.4671407024
building_159,1390,79.1266288439,-76.4406423679,197.8165721096,-191.1016059197,2.5,2.5,-0.05,32.0588235294,32.0588235294,18.0295195001
building_161,1393,151.4918387874,44.1142499778,378.7295969685,110.2856249445,2.5,2.5,-0.05,22.6470588235,22.6470588235,11.9144580909
building_162,1396,230.5448056334,-190.2581851994,576.3620140836,-475.6454629984,2.5,2.5,-0.05,31.4705882353,31.4705882353,17.5878043525
building_165,1399,229.9438794686,-153.1074642892,574.8596986715,-382.7686607229,2.5,2.5,-0.05,47.7941176471,47.7941176471,28.5633484163
building_166,1400,107.3550560293,-76.681711126,268.3876400733,-191.7042778151,2.5,2.5,-0.05,36.1764705882,36.1764705882,20.8651152768
building_167,1401,-227.1221577969,-157.9556656936,-567.8053944924,-394.8891642341,2.5,2.5,-0.05,41.7647058824,41.7647058824,24.6584787762
building_169,1403,182.8667417074,-103.6401508237,457.1668542684,-259.1003770593,2.5,2.5,-0.05,32.7941176471,32.7941176471,18.5816634346
building_170,1404,-104.0527545982,-23.0645439592,-260.1318864954,-57.661359898,2.5,2.5,-0.05,23.2352941176,23.2352941176,12.3195432018
building_171,1405,-103.8389332466,-42.3753006231,-259.5973331164,-105.9382515577,2.5,2.5,-0.05,50,50,30
building_172,1406,152.1737814069,-227.0169210515,380.4344535172,-567.5423026287,2.5,2.5,-0.05,44.1176470588,44.1176470588,26.2421891833
building_174,1410,-0.4026475851,-191.842047927,-1.0066189627,-479.6051198176,2.5,2.5,-0.05,36.9117647059,36.9117647059,21.3806291748
building_175,1411,108.8266715334,142.3814759678,272.0666788334,355.9536899195,2.5,2.5,-0.05,33.9705882353,33.9705882353,19.3918336565
building_176,1412,152.9896435871,119.4301822969,382.4741089678,298.5754557423,2.5,2.5,-0.05,20.2941176471,20.2941176471,10.2208575738
building_178,1415,-74.9027644344,-195.1223153594,-187.2569110861,-487.8057883984,2.5,2.5,-0.05,46.4705882353,46.4705882353,27.7526395174
building_179,1416,153.1253073872,76.9397578768,382.8132684681,192.349394692,2.5,2.5,-0.05,30.2941176471,30.2941176471,16.8508942039
building_180,1418,-207.4087179133,179.0006612536,-518.5217947832,447.5016531339,2.5,2.5,-0.05,44.5588235294,44.5588235294,26.5368455074
building_181,1419,123.792531462,-151.1402172189,309.4813286551,-377.8505430473,2.5,2.5,-0.05,20.7352941176,20.7352941176,10.5521439344
building_182,1420,126.6141754693,-103.1539876508,316.5354386733,-257.8849691271,2.5,2.5,-0.05,38.8235294118,38.8235294118,22.7429433312
building_183,1421,-75.2246975897,16.8437682716,-188.0617439743,42.1094206791,2.5,2.5,-0.05,29.8529411765,29.8529411765,16.5196078432
building_184,1422,19.6394184928,148.6177900599,49.0985462319,371.5444751498,2.5,2.5,-0.05,35.2941176471,35.2941176471,20.2391725922
building_186,1425,5.6206543331,214.310700937,14.0516358327,535.7767523424,2.5,2.5,-0.05,45,45,26.8315018315
building_187,1427,126.6900014417,-77.0053153088,316.7250036043,-192.5132882721,2.5,2.5,-0.05,33.3823529412,33.3823529412,18.9867485456
building_188,1428,173.0934088665,42.6925280554,432.7335221663,106.7313201384,2.5,2.5,-0.05,24.8529411765,24.8529411765,13.2412195648
building_189,1433,-8.1435305719,123.3151752148,-20.3588264296,308.2879380371,2.5,2.5,-0.05,26.7647058824,26.7647058824,14.4570135747
building_190,1435,142.7876483849,-178.890585371,356.9691209621,-447.2264634275,2.5,2.5,-0.05,20,20,10
building_191,1436,203.1659331683,74.4351058578,507.9148329208,186.0877646444,2.5,2.5,-0.05,27.9411764706,27.9411764706,15.2671837966
building_193,1447,162.8147480554,-150.5951281885,407.0368701385,-376.4878204713,2.5,2.5,-0.05,24.4117647059,24.4117647059,13.019823314
building_194,1449,164.7240815455,-180.7804786716,411.8102038637,-451.9511966789,2.5,2.5,-0.05,41.4705882353,41.4705882353,24.4376212023
building_195,1451,102.1774493077,-180.1341977035,255.4436232693,-450.3354942588,2.5,2.5,-0.05,39.7058823529,39.7058823529,23.3688860159
building_197,1457,165.5179335403,-103.8436935003,413.7948338508,-259.6092337507,2.5,2.5,-0.05,42.5,42.5,25.2106227106
building_198,1458,-183.538851242,-2.5983645283,-458.8471281049,-6.4959113209,2.5,2.5,-0.05,43.5294117647,43.5294117647,25.8004740358
building_200,1460,75.7788651716,222.3816820443,189.4471629291,555.9542051108,2.5,2.5,-0.05,22.9411764706,22.9411764706,12.1353156647
building_202,1464,26.4699852107,240.4301632278,66.1749630269,601.0754080694,2.5,2.5,-0.05,31.1764705882,31.1764705882,17.3669467787
building_204,1466,-153.3008969744,-143.5998057574,-383.2522424359,-358.9995143936,2.5,2.5,-0.05,37.6470588235,37.6470588235,21.8961430726
building_206,1472,-227.7657215692,-138.0027362259,-569.414303923,-345.0068405647,2.5,2.5,-0.05,32.5,32.5,18.3608058608
building_207,1475,-60.8019242406,95.5756465873,-152.0048106016,238.9391164683,2.5,2.5,-0.05,31.7647058824,31.7647058824,17.8086619264
building_208,1476,-105.4984004068,-83.5178478433,-263.7460010171,-208.7946196083,2.5,2.5,-0.05,24.1176470588,24.1176470588,12.7989657401
building_209,1478,48.2415403899,61.7081388307,120.6038509747,154.2703470768,2.5,2.5,-0.05,22.7941176471,22.7941176471,12.0248868779
